agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,time_period,volume,cost,travel_time,distance,node_sequence,time_sequence
1,10200855,10200905,10200855,10200905,blocking time,0855_0905,1,10,10,10,10200855;10200905,0855;0905
2,20200908,20200916,20200908,20200916,blocking time,0908_0916,1,8,8,8,20200908;20200916,0908;0916
3,20100908,20100916,20100908,20100916,blocking time,0908_0916,1,8,8,8,20100908;20100916,0908;0916
4,30200918,30200926,30200918,30200926,blocking time,0918_0926,1,8,8,8,30200918;30200926,0918;0926
5,30100918,30100926,30100918,30100926,blocking time,0918_0926,1,8,8,8,30100918;30100926,0918;0926
6,40100930,40100940,40100930,40100940,blocking time,0930_0940,1,10,10,10,40100930;40100940,0930;0940
7,10200935,10200947,10200935,10200947,blocking time,0935_0947,1,12,12,12,10200935;10200947,0935;0947
8,20200933,20200943,20200933,20200943,blocking time,0933_0943,1,10,10,10,20200933;20200943,0933;0943
9,20100933,20100943,20100933,20100943,blocking time,0933_0943,1,10,10,10,20100933;20100943,0933;0943
10,30200916,30200928,30200916,30200928,blocking time,0916_0928,1,12,12,12,30200916;30200928,0916;0928
11,30100929,30100941,30100929,30100941,blocking time,0929_0941,1,12,12,12,30100929;30100941,0929;0941
12,40100904,40100916,40100904,40100916,blocking time,0904_0916,1,12,12,12,40100904;40100916,0904;0916
13,10200917,10200927,10200917,10200927,blocking time,0917_0927,1,10,10,10,10200917;10200927,0917;0927
14,20200932,20200942,20200932,20200942,blocking time,0932_0942,1,10,10,10,20200932;20200942,0932;0942
15,20100935,20100945,20100935,20100945,blocking time,0935_0945,1,10,10,10,20100935;20100945,0935;0945
16,30200948,30200956,30200948,30200956,blocking time,0948_0956,1,8,8,8,30200948;30200956,0948;0956
17,30100948,30100956,30100948,30100956,blocking time,0948_0956,1,8,8,8,30100948;30100956,0948;0956
18,40101000,40101010,40101000,40101010,blocking time,1000_1010,1,10,10,10,40101000;40101010,1000;1010
19,10200929,10200940,10200929,10200940,blocking time,0929_0940,1,11,11,11,10200929;10200940,0929;0940
20,20200942,20200952,20200942,20200952,blocking time,0942_0952,1,10,10,10,20200942;20200952,0942;0952
21,20100942,20100952,20100942,20100952,blocking time,0942_0952,1,10,10,10,20100942;20100952,0942;0952
22,30200952,30201002,30200952,30201002,blocking time,0952_1002,1,10,10,10,30200952;30201002,0952;1002
23,30100952,30101002,30100952,30101002,blocking time,0952_1002,1,10,10,10,30100952;30101002,0952;1002
24,40101004,40101016,40101004,40101016,blocking time,1004_1016,1,12,12,12,40101004;40101016,1004;1016
25,10201015,10201025,10201015,10201025,blocking time,1015_1025,1,10,10,10,10201015;10201025,1015;1025
26,20200958,20201008,20200958,20201008,blocking time,0958_1008,1,10,10,10,20200958;20201008,0958;1008
27,20101000,20101010,20101000,20101010,blocking time,1000_1010,1,10,10,10,20101000;20101010,1000;1010
28,30200946,30200954,30200946,30200954,blocking time,0946_0954,1,8,8,8,30200946;30200954,0946;0954
29,30100946,30100954,30100946,30100954,blocking time,0946_0954,1,8,8,8,30100946;30100954,0946;0954
30,40100933,40100943,40100933,40100943,blocking time,0933_0943,1,10,10,10,40100933;40100943,0933;0943
