name,physical_node_id,node_id,zone_id,node_type,control_type,x_coord,y_coord
,1,10200855,10200855,1,,0,1100
,1,10200905,10200905,1,,1000,1100
,2,20200908,20200908,1,,1300,2100
,2,20200916,20200916,1,,2100,2100
,2,20100908,20100908,1,,1300,1900
,2,20100916,20100916,1,,2100,1900
,3,30200918,30200918,1,,2300,3100
,3,30200926,30200926,1,,3100,3100
,3,30100918,30100918,1,,2300,2900
,3,30100926,30100926,1,,3100,2900
,4,40100930,40100930,1,,3500,3900
,4,40100940,40100940,1,,4500,3900
,1,10200935,10200935,1,,4000,1100
,1,10200947,10200947,1,,5200,1100
,2,20200933,20200933,1,,3800,2100
,2,20200943,20200943,1,,4800,2100
,2,20100933,20100933,1,,3800,1900
,2,20100943,20100943,1,,4800,1900
,3,30200916,30200916,1,,2100,3100
,3,30200928,30200928,1,,3300,3100
,3,30100929,30100929,1,,3400,2900
,3,30100941,30100941,1,,4600,2900
,4,40100904,40100904,1,,900,3900
,4,40100916,40100916,1,,2100,3900
,1,10200917,10200917,1,,2200,1100
,1,10200927,10200927,1,,3200,1100
,2,20200932,20200932,1,,3700,2100
,2,20200942,20200942,1,,4700,2100
,2,20100935,20100935,1,,4000,1900
,2,20100945,20100945,1,,5000,1900
,3,30200948,30200948,1,,5300,3100
,3,30200956,30200956,1,,6100,3100
,3,30100948,30100948,1,,5300,2900
,3,30100956,30100956,1,,6100,2900
,4,40101000,40101000,1,,6500,3900
,4,40101010,40101010,1,,7500,3900
,1,10200929,10200929,1,,3400,1100
,1,10200940,10200940,1,,4500,1100
,2,20200952,20200952,1,,5700,2100
,2,20100942,20100942,1,,4700,1900
,2,20100952,20100952,1,,5700,1900
,3,30200952,30200952,1,,5700,3100
,3,30201002,30201002,1,,6700,3100
,3,30100952,30100952,1,,5700,2900
,3,30101002,30101002,1,,6700,2900
,4,40101004,40101004,1,,6900,3900
,4,40101016,40101016,1,,8100,3900
,1,10201015,10201015,1,,8000,1100
,1,10201025,10201025,1,,9000,1100
,2,20200958,20200958,1,,6300,2100
,2,20201008,20201008,1,,7300,2100
,2,20101000,20101000,1,,6500,1900
,2,20101010,20101010,1,,7500,1900
,3,30200946,30200946,1,,5100,3100
,3,30200954,30200954,1,,5900,3100
,3,30100946,30100946,1,,5100,2900
,3,30100954,30100954,1,,5900,2900
,4,40100933,40100933,1,,3800,3900
,4,40100943,40100943,1,,4800,3900
