name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,10200855,10200905,,1,10,1,1,1,1,10
,2,20200908,20200916,,1,8,1,1,1,1,8
,3,20100908,20100916,,1,8,1,1,1,1,8
,4,30200918,30200926,,1,8,1,1,1,1,8
,5,30100918,30100926,,1,8,1,1,1,1,8
,6,40100930,40100940,,1,10,1,1,1,1,10
,7,10200935,10200947,,1,12,1,1,1,1,12
,8,20200933,20200943,,1,10,1,1,1,1,10
,9,20100933,20100943,,1,10,1,1,1,1,10
,10,30200916,30200928,,1,12,1,1,1,1,12
,11,30100929,30100941,,1,12,1,1,1,1,12
,12,40100904,40100916,,1,12,1,1,1,1,12
,13,10200917,10200927,,1,10,1,1,1,1,10
,14,20200932,20200942,,1,10,1,1,1,1,10
,15,20100935,20100945,,1,10,1,1,1,1,10
,16,30200948,30200956,,1,8,1,1,1,1,8
,17,30100948,30100956,,1,8,1,1,1,1,8
,18,40101000,40101010,,1,10,1,1,1,1,10
,19,10200929,10200940,,1,11,1,1,1,1,11
,20,20200942,20200952,,1,10,1,1,1,1,10
,21,20100942,20100952,,1,10,1,1,1,1,10
,22,30200952,30201002,,1,10,1,1,1,1,10
,23,30100952,30101002,,1,10,1,1,1,1,10
,24,40101004,40101016,,1,12,1,1,1,1,12
,25,10201015,10201025,,1,10,1,1,1,1,10
,26,20200958,20201008,,1,10,1,1,1,1,10
,27,20101000,20101010,,1,10,1,1,1,1,10
,28,30200946,30200954,,1,8,1,1,1,1,8
,29,30100946,30100954,,1,8,1,1,1,1,8
,30,40100933,40100943,,1,10,1,1,1,1,10
