agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,time_period,volume,cost,travel_time,distance,node_sequence,time_sequence
1,30400918,30400926,30400918,30400926,train conflicts,0918_0926,1,8,8,8,30400918;30400926,0918;0926
2,40300933,40300940,40300933,40300940,train conflicts,0933_0940,1,7,7,7,40300933;40300940,0933;0940
3,20400933,20400942,20400933,20400942,train conflicts,0933_0942,1,9,9,9,20400933;20400942,0933;0942
4,20300935,20300943,20300935,20300943,train conflicts,0935_0943,1,8,8,8,20300935;20300943,0935;0943
5,10400935,10400940,10400935,10400940,train conflicts,0935_0940,1,5,5,5,10400935;10400940,0935;0940
6,20400942,20400943,20400942,20400943,train conflicts,0942_0943,1,1,1,1,20400942;20400943,0942;0943
7,20300942,20300943,20300942,20300943,train conflicts,0942_0943,1,1,1,1,20300942;20300943,0942;0943
8,20400942,20400942,20400942,20400942,train conflicts,0942_0942,1,0,0,0,20400942;20400942,0942;0942
9,20300942,20300945,20300942,20300945,train conflicts,0942_0945,1,3,3,3,20300942;20300945,0942;0945
10,30400952,30400956,30400952,30400956,train conflicts,0952_0956,1,4,4,4,30400952;30400956,0952;0956
11,30300952,30300956,30300952,30300956,train conflicts,0952_0956,1,4,4,4,30300952;30300956,0952;0956
12,40301004,40301010,40301004,40301010,train conflicts,1004_1010,1,6,6,6,40301004;40301010,1004;1010
13,30400948,30400954,30400948,30400954,train conflicts,0948_0954,1,6,6,6,30400948;30400954,0948;0954
14,30300948,30300954,30300948,30300954,train conflicts,0948_0954,1,6,6,6,30300948;30300954,0948;0954
15,30400952,30400954,30400952,30400954,train conflicts,0952_0954,1,2,2,2,30400952;30400954,0952;0954
16,30300952,30300954,30300952,30300954,train conflicts,0952_0954,1,2,2,2,30300952;30300954,0952;0954
