name,physical_node_id,node_id,zone_id,node_type,control_type,x_coord,y_coord
,3,30400918,30400918,1,,2300,3200
,3,30400926,30400926,1,,3100,3200
,4,40300933,40300933,1,,3800,3800
,4,40300940,40300940,1,,4500,3800
,2,20400933,20400933,1,,3800,2200
,2,20400942,20400942,1,,4700,2200
,2,20300935,20300935,1,,4000,1800
,2,20300943,20300943,1,,4800,1800
,1,10400935,10400935,1,,4000,1200
,1,10400940,10400940,1,,4500,1200
,2,20400943,20400943,1,,4800,2200
,2,20300942,20300942,1,,4700,1800
,2,20300945,20300945,1,,5000,1800
,3,30400952,30400952,1,,5700,3200
,3,30400956,30400956,1,,6100,3200
,3,30300952,30300952,1,,5700,2800
,3,30300956,30300956,1,,6100,2800
,4,40301004,40301004,1,,6900,3800
,4,40301010,40301010,1,,7500,3800
,3,30400948,30400948,1,,5300,3200
,3,30400954,30400954,1,,5900,3200
,3,30300948,30300948,1,,5300,2800
,3,30300954,30300954,1,,5900,2800
