name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,30400918,30400926,,1,8,1,1,1,1,8
,2,40300933,40300940,,1,7,1,1,1,1,7
,3,20400933,20400942,,1,9,1,1,1,1,9
,4,20300935,20300943,,1,8,1,1,1,1,8
,5,10400935,10400940,,1,5,1,1,1,1,5
,6,20400942,20400943,,1,1,1,1,1,1,1
,7,20300942,20300943,,1,1,1,1,1,1,1
,8,20400942,20400942,,1,0,1,1,1,1,0
,9,20300942,20300945,,1,3,1,1,1,1,3
,10,30400952,30400956,,1,4,1,1,1,1,4
,11,30300952,30300956,,1,4,1,1,1,1,4
,12,40301004,40301010,,1,6,1,1,1,1,6
,13,30400948,30400954,,1,6,1,1,1,1,6
,14,30300948,30300954,,1,6,1,1,1,1,6
,15,30400952,30400954,,1,2,1,1,1,1,2
,16,30300952,30300954,,1,2,1,1,1,1,2
