name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,100900,200912,,1,12,1,1,1,1,12
,2,200912,300922,,1,10,1,1,1,1,10
,3,300922,400935,,1,13,1,1,1,1,13
,4,400910,300922,,1,12,1,1,1,1,12
,5,300922,300935,,1,13,1,1,1,1,13
,6,300935,200938,,1,3,1,1,1,1,3
,7,200938,100941,,1,3,1,1,1,1,3
,8,100922,200937,,1,15,1,1,1,1,15
,9,200937,200940,,1,3,1,1,1,1,3
,10,200940,300952,,1,12,1,1,1,1,12
,11,300952,401005,,1,13,1,1,1,1,13
,12,100935,200947,,1,12,1,1,1,1,12
,13,200947,300957,,1,10,1,1,1,1,10
,14,300957,401010,,1,13,1,1,1,1,13
,15,400938,300950,,1,12,1,1,1,1,12
,16,300950,201003,,1,13,1,1,1,1,13
,17,201003,201005,,1,2,1,1,1,1,2
,18,201005,101020,,1,15,1,1,1,1,15
